module module 49 5
riscv_apu_disp token 49 20
( ( 49 22
input input 50 6
logic logic 50 12
clk_i token 50 44
, , 50 45
input input 51 6
logic logic 51 12
rst_ni token 51 45
, , 51 46
input input 54 6
logic logic 54 12
enable_i token 54 47
, , 54 48
input input 55 6
logic logic 55 12
[ [ 55 14
1 number 55 15
: : 55 16
0 number 55 17
] ] 55 18
apu_lat_i token 55 48
, , 55 49
input input 56 6
logic logic 56 12
[ [ 56 14
5 number 56 15
: : 56 16
0 number 56 17
] ] 56 18
apu_waddr_i token 56 50
, , 56 51
output output 59 7
logic logic 59 13
[ [ 59 15
5 number 59 16
: : 59 17
0 number 59 18
] ] 59 19
apu_waddr_o token 59 50
, , 59 51
output output 60 7
logic logic 60 13
apu_multicycle_o token 60 55
, , 60 56
output output 61 7
logic logic 61 13
apu_singlecycle_o token 61 56
, , 61 57
output output 64 7
logic logic 64 13
active_o token 64 47
, , 64 48
output output 67 7
logic logic 67 13
stall_o token 67 46
, , 67 47
input input 70 6
logic logic 70 13
[ [ 70 15
2 number 70 16
: : 70 17
0 number 70 18
] ] 70 19
[ [ 70 20
5 number 70 21
: : 70 22
0 number 70 23
] ] 70 24
read_regs_i token 70 50
, , 70 51
input input 71 6
logic logic 71 13
[ [ 71 15
2 number 71 16
: : 71 17
0 number 71 18
] ] 71 19
read_regs_valid_i token 71 56
, , 71 57
output output 72 7
logic logic 72 13
read_dep_o token 72 49
, , 72 50
input input 74 6
logic logic 74 13
[ [ 74 15
1 number 74 16
: : 74 17
0 number 74 18
] ] 74 19
[ [ 74 20
5 number 74 21
: : 74 22
0 number 74 23
] ] 74 24
write_regs_i token 74 51
, , 74 52
input input 75 6
logic logic 75 13
[ [ 75 15
1 number 75 16
: : 75 17
0 number 75 18
] ] 75 19
write_regs_valid_i token 75 57
, , 75 58
output output 76 7
logic logic 76 13
write_dep_o token 76 50
, , 76 51
output output 79 7
logic logic 79 13
perf_type_o token 79 50
, , 79 51
output output 80 7
logic logic 80 13
perf_cont_o token 80 50
, , 80 51
output output 84 7
logic logic 84 13
apu_master_req_o token 84 55
, , 84 56
output output 85 7
logic logic 85 13
apu_master_ready_o token 85 57
, , 85 58
input input 86 6
logic logic 86 12
apu_master_gnt_i token 86 55
, , 86 56
input input 88 6
logic logic 88 12
apu_master_valid_i token 88 57
) ) 90 2
; ; 90 3
logic logic 92 6
[ [ 92 8
5 number 92 9
: : 92 10
0 number 92 11
] ] 92 12
addr_req token 92 29
, , 92 30
addr_inflight token 92 44
, , 92 45
addr_waiting token 92 58
; ; 92 59
logic logic 93 6
[ [ 93 8
5 number 93 9
: : 93 10
0 number 93 11
] ] 93 12
addr_inflight_dn token 93 37
, , 93 38
addr_waiting_dn token 93 54
; ; 93 55
logic logic 94 6
valid_req token 94 30
, , 94 31
valid_inflight token 94 46
, , 94 47
valid_waiting token 94 61
; ; 94 62
logic logic 95 6
valid_inflight_dn token 95 38
, , 95 39
valid_waiting_dn token 95 56
; ; 95 57
logic logic 96 6
returned_req token 96 33
, , 96 34
returned_inflight token 96 52
, , 96 53
returned_waiting token 96 70
; ; 96 71
logic logic 98 6
req_accepted token 98 33
; ; 98 34
logic logic 99 6
active token 99 27
; ; 99 28
logic logic 100 6
[ [ 100 8
1 number 100 9
: : 100 10
0 number 100 11
] ] 100 12
apu_lat token 100 28
; ; 100 29
logic logic 103 6
[ [ 103 8
2 number 103 9
: : 103 10
0 number 103 11
] ] 103 12
read_deps_req token 103 26
, , 103 27
read_deps_inflight token 103 47
, , 103 48
read_deps_waiting token 103 67
; ; 103 68
logic logic 104 6
[ [ 104 8
1 number 104 9
: : 104 10
0 number 104 11
] ] 104 12
write_deps_req token 104 27
, , 104 28
write_deps_inflight token 104 48
, , 104 49
write_deps_waiting token 104 68
; ; 104 69
logic logic 105 6
read_dep_req token 105 25
, , 105 26
read_dep_inflight token 105 46
, , 105 47
read_dep_waiting token 105 66
; ; 105 67
logic logic 106 6
write_dep_req token 106 26
, , 106 27
write_dep_inflight token 106 47
, , 106 48
write_dep_waiting token 106 67
; ; 106 68
logic logic 108 6
stall_full token 108 17
, , 108 18
stall_type token 108 29
, , 108 30
stall_nack token 108 41
; ; 108 42
assign assign 111 7
valid_req token 111 17
= = 111 22
enable_i token 111 31
& & 111 33
! ! 111 35
( ( 111 36
stall_full token 111 46
| | 111 48
stall_type token 111 59
) ) 111 60
; ; 111 61
assign assign 112 7
addr_req token 112 16
= = 112 22
apu_waddr_i token 112 34
; ; 112 35
assign assign 114 7
req_accepted token 114 20
= = 114 22
valid_req token 114 32
& & 114 34
apu_master_gnt_i token 114 51
; ; 114 52
assign assign 120 7
returned_req token 120 20
= = 120 27
valid_req token 120 37
& & 120 44
apu_master_valid_i token 120 64
& & 120 67
! ! 120 69
valid_inflight token 120 83
& & 120 85
! ! 120 87
valid_waiting token 120 100
; ; 120 101
assign assign 121 7
returned_inflight token 121 25
= = 121 27
