@31: info: reg=0 got 00000000 was -0000001
@31: info: reg=1 got 00000000 was -0000001
@31: info: reg=2 got 00000000 was -0000001
@31: info: reg=3 got 00000000 was -0000001
@31: info: reg=4 got 00000000 was -0000001
@31: info: reg=5 got 00000000 was -0000001
@31: info: reg=6 got 00000000 was -0000001
@31: info: reg=7 got 00000000 was -0000001
@31: info: reg=8 got 00000000 was -0000001
@31: info: reg=9 got 00000000 was -0000001
@31: info: reg=a got 00000000 was -0000001
@31: info: reg=b got 00000000 was -0000001
@31: info: reg=c got 00000000 was -0000001
@31: info: reg=d got 00000000 was -0000001
@31: info: reg=e got 00000000 was -0000001
@31: info: reg=f got 00000000 was -0000001
@31: info: reg=10 got 00000000 was -0000001
@31: info: reg=11 got 00000000 was -0000001
@31: info: reg=12 got 00000000 was -0000001
@31: info: reg=13 got 00000000 was -0000001
@31: info: reg=14 got 00000000 was -0000001
@31: info: reg=15 got 00000000 was -0000001
@31: info: reg=16 got 00000000 was -0000001
@31: info: reg=17 got 00000000 was -0000001
@31: info: reg=18 got 00000000 was -0000001
@31: info: reg=19 got 00000000 was -0000001
@31: info: reg=1a got 00000000 was -0000001
@31: info: reg=1b got 00000000 was -0000001
@31: info: reg=1c got 00000000 was -0000001
@31: info: reg=1d got 00000000 was -0000001
@31: info: reg=1e got 00000000 was -0000001
@31: info: reg=1f got 00000000 was -0000001
@32: info: served addr=20 data=130101ff
@36: info: served addr=21 data=23341100
@37: info: served addr=22 data=23308100
@39: info: reg=8 got 000000a0 was 00000000
@41: info: served addr=21 data=23341100
@42: info: served addr=22 data=23308100
@46: info: served addr=21 data=23341100
@47: info: served addr=22 data=23308100
@51: info: served addr=21 data=23341100
@52: info: served addr=22 data=23308100
@56: info: served addr=21 data=23341100
@57: info: served addr=22 data=23308100
@61: info: served addr=21 data=23341100
@62: info: served addr=22 data=23308100
@66: info: served addr=21 data=23341100
@67: info: served addr=22 data=23308100
@71: info: served addr=21 data=23341100
@72: info: served addr=22 data=23308100
@76: info: served addr=21 data=23341100
@77: info: served addr=22 data=23308100
@81: info: served addr=21 data=23341100
@82: info: served addr=22 data=23308100
@86: info: served addr=21 data=23341100
@87: info: served addr=22 data=23308100
@91: info: served addr=21 data=23341100
@92: info: served addr=22 data=23308100
@96: info: served addr=21 data=23341100
@97: info: served addr=22 data=23308100
@101: info: served addr=21 data=23341100
@102: info: served addr=22 data=23308100
@106: info: served addr=21 data=23341100
@107: info: served addr=22 data=23308100
@111: info: served addr=21 data=23341100
@112: info: served addr=22 data=23308100
@116: info: served addr=21 data=23341100
@117: info: served addr=22 data=23308100
@121: info: served addr=21 data=23341100
@122: info: served addr=22 data=23308100
@126: info: served addr=21 data=23341100
@127: info: served addr=22 data=23308100
@131: info: served addr=21 data=23341100
@132: info: served addr=22 data=23308100
@136: info: served addr=21 data=23341100
@137: info: served addr=22 data=23308100
@141: info: served addr=21 data=23341100
@142: info: served addr=22 data=23308100
@146: info: served addr=21 data=23341100
@147: info: served addr=22 data=23308100
@151: info: served addr=21 data=23341100
@152: info: served addr=22 data=23308100
@156: info: served addr=21 data=23341100
@157: info: served addr=22 data=23308100
@161: info: served addr=21 data=23341100
@162: info: served addr=22 data=23308100
@166: info: served addr=21 data=23341100
@167: info: served addr=22 data=23308100
@171: info: served addr=21 data=23341100
@172: info: served addr=22 data=23308100
@176: info: served addr=21 data=23341100
@177: info: served addr=22 data=23308100
@181: info: served addr=21 data=23341100
@182: info: served addr=22 data=23308100
@186: info: served addr=21 data=23341100
@187: info: served addr=22 data=23308100
@191: info: served addr=21 data=23341100
@192: info: served addr=22 data=23308100
@196: info: served addr=21 data=23341100
@197: info: served addr=22 data=23308100
@201: info: served addr=21 data=23341100
@202: info: served addr=22 data=23308100
@206: info: served addr=21 data=23341100
@207: info: served addr=22 data=23308100
@211: info: served addr=21 data=23341100
@212: info: served addr=22 data=23308100
@216: info: served addr=21 data=23341100
@217: info: served addr=22 data=23308100
@221: info: served addr=21 data=23341100
@222: info: served addr=22 data=23308100
@226: info: served addr=21 data=23341100
@227: info: served addr=22 data=23308100
@231: info: served addr=21 data=23341100
@232: info: served addr=22 data=23308100
@236: info: served addr=21 data=23341100
@237: info: served addr=22 data=23308100
@241: info: served addr=21 data=23341100
@242: info: served addr=22 data=23308100
@246: info: served addr=21 data=23341100
@247: info: served addr=22 data=23308100
@251: info: served addr=21 data=23341100
@252: info: served addr=22 data=23308100
@256: info: served addr=21 data=23341100
@257: info: served addr=22 data=23308100
@261: info: served addr=21 data=23341100
@262: info: served addr=22 data=23308100
@266: info: served addr=21 data=23341100
@267: info: served addr=22 data=23308100
@271: info: served addr=21 data=23341100
@272: info: served addr=22 data=23308100
@276: info: served addr=21 data=23341100
@277: info: served addr=22 data=23308100
@281: info: served addr=21 data=23341100
@282: info: served addr=22 data=23308100
@286: info: served addr=21 data=23341100
@287: info: served addr=22 data=23308100
@291: info: served addr=21 data=23341100
@292: info: served addr=22 data=23308100
@296: info: served addr=21 data=23341100
@297: info: served addr=22 data=23308100
@301: info: served addr=21 data=23341100
@302: info: served addr=22 data=23308100
@306: info: served addr=21 data=23341100
